New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases
74,7,179,-112,27138,804,27017,-683
2497,48,3977,-1528,315543,4919,293556,17068
108,9,247,-148,25033,596,18838,5599
881,6,1684,-809,175006,2113,147386,25507
476,71,49,356,141995,5985,91085,44925
516,37,395,84,122346,8677,106426,7243
179,5,258,-84,27317,809,27275,-767
1879,42,2081,-244,317422,4961,295637,16824
135,5,139,-9,25168,601,18977,5590
947,5,1266,-324,175953,2118,148652,25183
878,39,225,614,142873,6024,91310,45539
432,36,473,-77,122778,8713,106899,7166
351,11,245,95,27668,820,27520,-672
1861,62,1580,219,319283,5023,297217,17043
165,5,262,-102,25333,606,19239,5488
4032,14,2100,1918,179985,2132,150752,27101
1101,38,12,1051,143974,6062,91322,46590
473,16,287,170,123251,8729,107186,7336
335,4,223,108,28003,824,27743,-564
1446,31,2591,-1176,320729,5054,299808,15867
229,3,227,-1,25562,609,19466,5487
4333,3,2695,1635,184318,2135,153447,28736
868,6,59,803,144842,6068,91381,47393
579,13,265,301,123830,8742,107451,7637
86,9,325,-248,28089,833,28068,-812
373,35,2717,-2379,321102,5089,302525,13488
255,11,118,126,25817,620,19584,5613
4210,9,3339,862,188528,2144,156786,29598
676,9,489,178,145518,6077,91870,47571
559,21,385,153,124389,8763,107836,7790
73,2,334,-263,28162,835,28402,-1075
1920,6,2758,-844,323022,5095,305283,12644
263,4,259,0,26080,624,19843,5613
3846,25,2553,1268,192374,2169,159339,30866
1205,35,691,479,146723,6112,92561,48050
571,23,638,-90,124960,8786,108474,7700
73,7,129,-63,28235,842,28531,-1138
2872,40,2490,342,325894,5135,307773,12986
201,5,128,68,26281,629,19971,5681
974,5,1527,-558,193348,2174,160866,30308
804,18,489,297,147527,6130,93050,48347
625,32,570,23,125585,8818,109044,7723
249,6,107,136,28484,848,28638,-1002
2725,55,2681,-11,328619,5190,310454,12975
175,8,257,-90,26456,637,20228,5591
1021,4,1612,-595,194369,2178,162478,29713
484,12,225,247,148011,6142,93275,48594
446,26,534,-114,126031,8844,109578,7609
114,3,246,-135,28598,851,28884,-1137
2465,40,2305,120,331084,5230,312759,13095
138,7,227,-96,26594,644,20455,5495
3813,16,2828,969,198182,2194,165306,30682
1047,41,1141,-135,149058,6183,94416,48459
434,44,645,-255,126465,8888,110223,7354
251,6,318,-73,28849,857,29202,-1210
782,45,2052,-1315,331866,5275,314811,11780
228,10,242,-24,26822,654,20697,5471
4334,23,2048,2263,202516,2217,167354,32945
827,144,645,38,149885,6327,95061,48497
546,35,492,19,127011,8923,110715,7373
41,7,185,-151,28890,864,29387,-1361
782,35,1857,-1110,332648,5310,316668,10670
201,6,253,-58,27023,660,20950,5413
2192,7,1376,809,204708,2224,168730,33754
1260,78,571,611,151145,6405,95632,49108
580,30,697,-147,127591,8953,111412,7226
263,4,214,45,29153,868,29601,-1316
1581,56,2656,-1131,334229,5366,319324,9539
228,3,256,-31,27251,663,21206,5382
2544,73,1086,1385,207252,2297,169816,35139
820,69,1221,-470,151965,6474,96853,48638
556,37,560,-41,128147,8990,111972,7185
236,3,281,-48,29389,871,29882,-1364
1662,42,1864,-244,335891,5408,321188,9295
174,4,223,-53,27425,667,21429,5329
2314,7,867,1440,209566,2304,170683,36579
651,133,1108,-590,152616,6607,97961,48048
543,20,600,-77,128690,9010,112572,7108
37,7,178,-148,29426,878,30060,-1512
1736,44,1163,529,337627,5452,322351,9824
228,7,218,3,27653,674,21647,5332
876,5,651,220,210442,2309,171334,36799
629,69,2493,-1933,153245,6676,100454,46115
445,20,444,-19,129135,9030,113016,7089
46,4,220,-178,29472,882,30280,-1690
2098,43,891,1164,339725,5495,323242,10988
170,4,259,-93,27823,678,21906,5239
771,51,535,185,211213,2360,171869,36984
327,16,2701,-2390,153572,6692,103155,43725
324,26,555,-257,129459,9056,113571,6832
21,3,194,-176,29493,885,30474,-1866
2058,52,3133,-1127,341783,5547,326375,9861
144,4,274,-134,27967,682,22180,5105
1662,4,1693,-35,212875,2364,173562,36949
656,24,883,-251,154228,6716,104038,43474
341,21,421,-101,129800,9077,113992,6731
97,2,193,-98,29590,887,30667,-1964
577,36,2165,-1624,342360,5583,328540,8237
150,4,266,-120,28117,686,22446,4985
1654,49,2234,-629,214529,2413,175796,36320
983,36,814,133,155211,6752,104852,43607
412,21,653,-262,130212,9098,114645,6469
73,5,245,-177,29663,892,30912,-2141
1437,38,2487,-1088,343797,5621,331027,7149
229,7,160,62,28346,693,22606,5047
1895,49,2257,-411,216424,2462,178053,35909
473,27,1314,-868,155684,6779,106166,42739
430,25,480,-75,130642,9123,115125,6394
11,5,260,-254,29674,897,31172,-2395
2009,46,1750,213,345806,5667,332777,7362
228,5,280,-57,28574,698,22886,4990
1731,45,1191,495,218155,2507,179244,36404
591,19,693,-121,156275,6798,106859,42618
404,20,440,-56,131046,9143,115565,6338
515,7,184,324,30189,904,31356,-2071
1160,45,1290,-175,346966,5712,334067,7187
175,0,95,80,28749,698,22981,5070
1785,7,1686,92,219940,2514,180930,36496
872,17,283,572,157147,6815,107142,43190
404,16,447,-59,131450,9159,116012,6279
13,2,97,-86,30202,906,31453,-2157
1615,44,1568,3,348581,5756,335635,7190
89,5,249,-165,28838,703,23230,4905
1094,1,1304,-211,221034,2515,182234,36285
586,8,47,531,157733,6823,107189,43721
393,25,466,-98,131843,9184,116478,6181
12,3,156,-147,30214,909,31609,-2304
1835,45,1765,25,350416,5801,337400,7215
149,4,105,40,28987,707,23335,4945
1365,2,538,825,222399,2517,182772,37110
394,2,572,-180,158127,6825,107761,43541
328,16,380,-68,132171,9200,116858,6113
591,4,185,402,30805,913,31794,-1902
1783,48,1675,60,352199,5849,339075,7275
167,6,161,0,29154,713,23496,4945
1739,72,1941,-274,224138,2589,184713,36836
871,85,2346,-1560,158998,6910,110107,41981
328,23,410,-105,132499,9223,117268,6008
100,3,256,-159,30905,916,32050,-2061
867,45,1643,-821,353066,5894,340718,6454
176,2,190,-16,29330,715,23686,4929
1787,50,1005,732,225925,2639,185718,37568
899,52,1859,-1012,159897,6962,111966,40969
391,22,434,-65,132890,9245,117702,5943
248,0,85,163,31824,924,32561,-1661
1034,10,577,447,358772,6024,345015,7733
188,3,259,-74,30027,725,24551,4751
925,2,1587,-664,230558,2714,195252,32592
155,11,255,-111,161103,7049,113939,40115
346,18,362,-34,134316,9312,119348,5656
315,2,67,246,32139,926,32628,-1415
1204,36,2367,-1199,359976,6060,347382,6534
90,4,266,-180,30117,729,24817,4571
1133,6,944,183,231691,2720,196196,32775
144,3,106,35,161247,7052,114045,40150
278,14,214,50,134594,9326,119562,5706
290,2,125,163,32429,928,32753,-1252
1555,35,1762,-242,361531,6095,349144,6292
140,3,151,-14,30257,732,24968,4557
1334,20,1568,-254,233025,2740,197764,32521
656,20,562,74,161903,7072,114607,40224
257,20,293,-56,134851,9346,119855,5650
247,2,132,113,32676,930,32885,-1139
835,20,1491,-676,362366,6115,350635,5616
170,6,211,-47,30427,738,25179,4510
1617,35,2142,-560,234642,2775,199906,31961
560,41,1390,-871,162463,7113,115997,39353
291,24,248,19,135142,9370,120103,5669
861,3,249,609,33537,933,33134,-530
1330,3,1183,144,363696,6118,351818,5760
270,1,74,195,30697,739,25253,4705
1347,36,4156,-2845,235989,2811,204062,29116
596,43,733,-180,163059,7156,116730,39173
321,88,1007,-774,135463,9458,121110,4895
293,4,80,209,33830,937,33214,-321
1719,20,1168,531,365415,6138,352986,6291
257,6,125,126,30954,745,25378,4831
1261,44,1185,32,237250,2855,205247,29148
658,67,948,-357,163717,7223,117678,38816
339,38,820,-519,135802,9496,121930,4376
325,5,80,240,34155,942,33294,-81
1588,24,1175,389,367003,6162,354161,6680
161,3,200,-42,31115,748,25578,4789
1361,34,957,370,238611,2889,206204,29518
610,48,842,-280,164327,7271,118520,38536
305,46,357,-98,136107,9542,122287,4278
233,2,64,167,34388,944,33358,86
1935,22,1184,729,368938,6184,355345,7409
242,5,100,137,31357,753,25678,4926
822,7,1711,-896,239433,2896,207915,28622
220,9,303,-92,164547,7280,118823,38444
289,74,333,-118,136396,9616,122620,4160
211,0,47,164,34599,944,33405,250
1638,23,1884,-269,370576,6207,357229,7140
95,4,60,31,31452,757,25738,4957
517,21,1324,-828,239950,2917,209239,27794
102,4,102,-4,164649,7284,118925,38440
292,20,554,-282,136688,9636,123174,3878
440,0,46,394,35039,944,33451,644
1474,8,1715,-249,372050,6215,358944,6891
143,4,174,-35,31595,761,25912,4922
1253,48,1062,143,241203,2965,210301,27937
740,21,1714,-995,165389,7305,120639,37445
270,28,322,-80,136958,9664,123496,3798
298,2,76,220,35337,946,33527,864
816,11,1691,-886,372866,6226,360635,6005
205,3,220,-18,31800,764,26132,4904
1216,41,1392,-217,242419,3006,211693,27720
732,23,1093,-384,166121,7328,121732,37061
238,27,376,-165,137196,9691,123872,3633
259,1,165,93,35596,947,33692,957
890,11,1986,-1107,373756,6237,362621,4898
254,4,150,100,32054,768,26282,5004
1329,7,2469,-1147,243748,3013,214162,26573
403,27,1156,-780,166524,7355,122888,36281
289,23,564,-298,137485,9714,124436,3335
91,0,47,44,35687,947,33739,1001
1727,12,490,1225,375483,6249,363111,6123
258,1,193,64,32312,769,26475,5068
1172,12,1146,14,244920,3025,215308,26587
437,18,568,-149,166961,7373,123456,36132
348,21,345,-18,137833,9735,124781,3317
176,2,51,123,35863,949,33790,1124
1381,11,897,473,376864,6260,364008,6596
232,8,140,84,32544,777,26615,5152
855,1,1495,-641,245775,3026,216803,25946
265,8,546,-289,167226,7381,124002,35843
340,25,404,-89,138173,9760,125185,3228
220,0,71,149,36083,949,33861,1273
1354,18,599,737,378218,6278,364607,7333
140,11,200,-71,32684,788,26815,5081
476,102,1181,-807,246251,3128,217984,25139
141,9,87,45,167367,7390,124089,35888
275,17,452,-194,138448,9777,125637,3034
79,0,29,50,36162,949,33890,1323
1470,23,1175,272,379688,6301,365782,7605
127,6,179,-58,32811,794,26994,5023
534,7,837,-310,246785,3135,218821,24829
100,1,0,99,167467,7391,124089,35987
266,19,339,-92,138714,9796,125976,2942
328,1,90,237,36490,950,33980,1560
1014,22,1079,-87,380702,6323,366861,7518
106,6,172,-72,32917,800,27166,4951
1610,6,1369,235,248395,3141,220190,25064
388,37,871,-520,167855,7428,124960,35467
251,30,813,-592,138965,9826,126789,2350
319,1,90,228,36809,951,34070,1788
384,21,1087,-724,381086,6344,367948,6794
283,5,238,40,33200,805,27404,4991
911,8,1038,-135,249306,3149,221228,24929
649,17,1108,-476,168504,7445,126068,34991
279,31,494,-246,139244,9857,127283,2104
950,5,701,244,37759,956,34771,2032
965,0,1073,-108,382051,6344,369021,6686
272,4,231,37,33472,809,27635,5028
975,6,723,246,250281,3155,221951,25175
497,10,658,-171,169001,7455,126726,34820
301,36,273,-8,139545,9893,127556,2096
905,12,751,142,38664,968,35522,2174
1337,18,988,331,383388,6362,370009,7017
176,5,280,-109,33648,814,27915,4919
904,75,1156,-327,251185,3230,223107,24848
669,14,812,-157,169670,7469,127538,34663
281,24,233,24,139826,9917,127789,2120
